"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tên mức thuế"
"Tax Rate","Mức thuế"
"Tax Rate Information","Thông tin về mức thuế"
"Tax Rule Information","Thông tin về quy định thuế"
"Tax Rules","Tax Rules"
"Tax Section","Tax Section"
"Tax Titles","Tiêu đề mức thuế"
"Tax rate cannot be removed. It exists in tax rule","Tax rate cannot be removed. It exists in tax rule"
"Tax rates at the same priority are added, others are compounded.","Các mức thuế có cùng độ ưu tiên sẽ được áp dụng, còn các mức thuế với độ ưu tiên thấp hơn sẽ được tính toán phức tạp hơn."
"The tax class has been deleted.","The tax class has been deleted."
"The tax class has been saved.","The tax class has been saved."
"The tax rate has been deleted.","The tax rate has been deleted."
"The tax rate has been imported.","The tax rate has been imported."
"The tax rate has been saved.","The tax rate has been saved."
"The tax rule has been deleted.","The tax rule has been deleted."
"The tax rule has been saved.","The tax rule has been saved."
"This class no longer exists","This class no longer exists"
"This rule no longer exists","This rule no longer exists"
"This rule no longer exists.","This rule no longer exists."
"Total","Total"
"Unit Price","Unit Price"
"Whether catalog prices entered by admin include tax.","Whether catalog prices entered by admin include tax."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Whether shipping amounts entered by admin or obtained from gateways include tax."
"Yes","Yes"
"You cannot delete this tax class as it is used for %d customer groups.","You cannot delete this tax class as it is used for %d customer groups."
"You cannot delete this tax class as it is used for %d products.","You cannot delete this tax class as it is used for %d products."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first."
"Zip/Post Code","Mã vùng"
"Zip/Post is Range","Phạm vi mã vùng"
